state_id,village_id,state,district,township,villagetrack,village,village_my
117,001,Ayeyarwady,Pathein,Pathein,Ah Lel (a) Ah Lel Kone (Ngwesaung Sub-township),Leik Inn Kone,လိပ်အင်းကုန်း
117,002,Ayeyarwady,Pathein,Pathein,Wet Gyi Kwin,Pan Hla Kwin,ပန်းလှကွင်း
117,003,Ayeyarwady,Pathein,Kangyidaunt,Myin Ka Seik,Sar Hpyu su,စာဖြူစု
117,004,Ayeyarwady,Pathein,Kangyidaunt,Let Pan,Let Pan,လက်ပန်
117,005,Ayeyarwady,Pathein,Kangyidaunt,La Har Ka Lu,Ma Gyi Pin Su,မကျီးပင်စု
117,006,Ayeyarwady,Pathein,Thabaung,Kyun Kone,Nga Kyut Kone,ငကျွတ်ကုန်း
117,007,Ayeyarwady,Pathein,Thabaung,Htan Zin Hla Kyoet Kone,Htan Zin Hla Kyoet Kone,ထန်းဇင်လှကြို့ကုန်း
117,008,Ayeyarwady,Pathein,Ngapudaw,Tha Man Day Wa,Ah Lel Kone,အလယ်ကုန်း
117,009,Ayeyarwady,Pathein,Ngapudaw,War Kone (Hainggyikyun Sub-township),Kone Gyi,ကုန်းကြီး
117,010,Ayeyarwady,Pathein,Kyonpyaw,Ah Htaung,Ma Au Chaung,မအူချောင်း
117,011,Ayeyarwady,Pathein,Kyonpyaw,Man Set Ku,Man Set Ku Ywar Ma,မန်းစက္ကူရွာမ
117,012,Ayeyarwady,Pathein,Kyonpyaw,Tha Hpan Chaung,Thea Hpyu (East),သဲဖြူ (အရှေ့)
117,013,Ayeyarwady,Pathein,Kyonpyaw,Kyonpyaw Town,Mya Wa Di Ward,
117,014,Ayeyarwady,Pathein,Yegyi,Kone Pyin (Ngathaingchaung Sub-township),Tha Pyay Kwin,သပြေကွင်း
117,015,Ayeyarwady,Pathein,Yegyi,Ngathaingchaung Town,Thaung Tan (Aung San) Ward,
117,016,Ayeyarwady,Pathein,Kyaunggon,Kauk Gyi Kone,Tha Yet Taw,သရက်တော
117,017,Ayeyarwady,Pathein,Kyaunggon,Yin Saing,Yin Saing,ရင်ဆိုင်
117,018,Ayeyarwady,Pathein,Kyaunggon,Kyar Ga Yet,Thet Kei Kone,သက္ကယ်ကုန်း
117,019,Ayeyarwady,Hinthada,Hinthada,La Har Pa,Taung Hpoet Tan,တောင်ဖို့တန်း
117,020,Ayeyarwady,Hinthada,Zalun,Pet Tan,Pet Tan,ပက်တန်း
117,021,Ayeyarwady,Hinthada,Zalun,Tha Yet Ta Pin (North),Nyaung Kone (Auk Su),ညောင်ကုန်း (အောက်စု)
117,022,Ayeyarwady,Hinthada,Myanaung,Htan Thone Pin,Htan Hnit Khwa,ထန်းနှစ်ခွ
117,023,Ayeyarwady,Hinthada,Myanaung,Nat Pa Tee,Sa Bai Ka Yo,စပါယ်ခရိုး
117,024,Ayeyarwady,Hinthada,Kyangin,Ah Lon,Ywar Thit Ka Lay,ရွာသစ်ကလေး
117,025,Ayeyarwady,Hinthada,Ingapu,Nyaung Pin Gyi Kwin,Kyun Pu Lu,ကျွန်းပုလု
117,026,Ayeyarwady,Hinthada,Ingapu,Hmat Taing,Kan,ကံ
117,027,Ayeyarwady,Hinthada,Ingapu,Oe Kwe,Kat Kho Kone,ကပ်ခိုကုန်း
117,028,Ayeyarwady,Myaungmya,Myaungmya,Sa Ka Myar,Sa Ka Myar,စကားမြား
117,029,Ayeyarwady,Myaungmya,Myaungmya,Pyin Ma Kwin,Kan Thar Kone,ကံသာကုန်း
117,030,Ayeyarwady,Myaungmya,Myaungmya,Thein Lar Gat Su,Thein Lar Gat Su,သိလ္လာဂါတ်စု
117,031,Ayeyarwady,Myaungmya,Myaungmya,Kywet Nwe Chaung,Thu Htay Kone,သူဌေးကုန်း
117,032,Ayeyarwady,Myaungmya,Myaungmya,Hpa Yar Chaung,Nyaung Kone,ညောင်ကုန်း
117,033,Ayeyarwady,Myaungmya,Einme,Kan Su Gyi Kyon Ma Yan,Kyon Thut Hpyar,ကျုံသွတ်ဖျား
